項次,縣市,流向編號,場所名稱,地址,功能,場所類別,面積(m²),B1~B7核准填埋量(m³),B1~B7剩餘填埋量(m³),B1~B7核准處理量/年(m³),B6~B7核准處理量/年(m³),營運期限,收受土質,latitude,longitude,geocode_status
114,高雄市,DAK28333,湖內區古板土石方資源堆置場,高雄市湖內區海山村和平路19-5號,加工型、轉運型,私人團體設置土資場,12432.52,0.0,0.0,907200.0,0,2022/11/20~2027/11/19,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
115,高雄市,DAH00009,田寮區宜鼎棄土場,高雄市,填埋型,私人團體設置土資場,56716.0,1700000.0,107497.0,0.0,0,2023/04/28~2028/04/27,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,22.6203348,120.3120375,OK
116,高雄市,DDE24213,燕巢區京福土石方資源堆置處理場,高雄市燕巢鄉燕巢區深水村大成路111號,加工型、轉運型,私人團體設置土資場,12840.0,0.0,0.0,868000.0,0,2022/05/17~2027/05/16,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
117,高雄市,DFD20942,岡山區展聯土石方資源堆置場(展聯股份有限公司),高雄市岡山區中崙寮路6號,填埋型、加工型、轉運型,私人團體設置土資場,53509.53,201780.6,201780.6,1296000.0,0,2024/09/03~2029/09/02,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
119,澎湖縣,DBI04319,七美土資場,澎湖縣七美鄉五段125.122.140.123.124.2260.2261等7筆地號,填埋型,政府公有設置土資場,15000.0,0.0,0.0,12000.0,0,2002/09/04~2028/09/01,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
120,澎湖縣,DQK27643,將軍土資場,澎湖縣望安鄉將軍澳段112-1等7筆,填埋型,政府公有設置土資場,15917.0,0.0,0.0,12000.0,0,2017/05/11~2027/05/11,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
121,澎湖縣,DTL07555,立海環保有限公司土石方資源堆置處理場,澎湖縣馬公市烏崁里320號,加工型、轉運型,私人團體設置土資場,6501.1,0.0,0.0,144000.0,0,2020/10/06~2025/10/06,B1、B2-1、B2-2、B5,,,NOT_FOUND
122,澎湖縣,DTL11765,名隆土石方資源堆置處理場,澎湖縣馬公市興仁里,加工型、轉運型,私人團體設置土資場,8469.45,0.0,0.0,105600.0,0,2021/02/01~2026/01/31,B1、B2-1、B2-2、B2-3、B4、B5,23.5458627,119.6082717,OK
123,澎湖縣,DUE05795,井垵坑洞剩餘土石方收容回填場,澎湖縣馬公市井垵西段1418地號等14筆土地,填埋型,政府公有設置土資場,12700.09,60000.0,20000.0,23023.0,0,2021/05/05~2026/05/05,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
124,澎湖縣,DOK11235,吉貝土資場,澎湖縣白沙鄉吉貝東段710等9筆地號土地,填埋型,政府公有設置土資場,9046.09,0.0,0.0,12000.0,0,2015/11/09~2028/11/09,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
125,澎湖縣,DLK29727,赤崁坑洞剩餘土石方收容回填場,澎湖縣白沙鄉赤崁西段987等10筆地號土地,填埋型,政府公有設置土資場,4160.0,90000.0,14000.0,42247.0,0,2012/08/23~2026/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
126,屏東縣,DBF11693,協震有限公司(營建剩餘土石方資源堆置處理場),屏東縣里港鄉三廍村江南巷40號,加工型,土資場兼營混合物,22833.0,0.0,0.0,1400000.0,0,2002/06/06~2027/01/30,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
127,屏東縣,DGJ04009,嘉益土資場有限公司,屏東縣崁頂鄉後壁路151號,轉運型,土資場兼營混合物,4764.77,0.0,0.0,316800.0,316800,2024/10/03~2029/10/02,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
128,屏東縣,DII30856,萬川營建剩餘土石方資源堆置場,屏東縣萬巒鄉,轉運型,私人團體設置土資場,2962.5,0.0,0.0,316800.0,0,2023/09/24~2026/09/23,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,22.572919,120.56812,OK
129,花蓮縣,DIK30793,展信實業有限公司,花蓮縣玉里鎮大禹里大禹202-4號,加工型,砂石場,18546.6,0.0,0.0,200000.0,0,2024/01/23~2027/01/22,B1、B2-1、B2-2、B5,,,NOT_FOUND
