項次,縣市,流向編號,場所名稱,地址,功能,場所類別,面積(m²),B1~B7核准填埋量(m³),B1~B7剩餘填埋量(m³),B1~B7核准處理量/年(m³),B6~B7核准處理量/年(m³),營運期限,收受土質,latitude,longitude,geocode_status
52,新竹縣,DGB07532,石樺企業股份有限公司(砂石場)兼營土石方資源堆置處理場,新竹縣竹東鎮陸豐里荳子埔72號,加工型,私人團體設置土資場,11698.12,0.0,0.0,825000.0,95256,2007/02/01~2027/01/31,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
53,新竹縣,DFG10424,益廣達實業(股)公司,新竹縣竹北市環北路二段175巷10號,加工型,私人團體設置土資場,11393.0,0.0,0.0,726000.0,0,2006/07/06~2026/07/05,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
54,宜蘭縣,DDI21359,咸臨土石方資源轉運堆置場,宜蘭縣三星鄉中興路167-38號,加工型、轉運型,私人團體設置土資場,1167.0,0.0,0.0,691200.0,0,2023/12/23~2029/02/17,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
55,宜蘭縣,DBI10498,宜蘭縣政府公共造產三星鄉營建剩餘土石方再利用處理場,宜蘭縣宜蘭市縣政北路一號,轉運型,政府公有設置土資場,19104.0,0.0,0.0,120000.0,0,2002/09/03~2027/09/03,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
56,宜蘭縣,DCC19281,宜蘭縣三星鄉勢鴻土石方資源堆置場,宜蘭縣三星鄉安平路三段86號,加工型、轉運型,私人團體設置土資場,11765.44,0.0,0.0,700800.0,0,2023/06/01~2028/05/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
57,宜蘭縣,DCD08500,東城土資場,宜蘭縣冬山鄉內城段206-209地號,轉運型,私人團體設置土資場,18164.97,0.0,0.0,576000.0,0,2023/04/07~2028/04/06,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
59,苗栗縣,DDI21395,立順興資源科技股份有限公司,苗栗縣後龍鎮龍坑里十班坑176-12號,加工型,砂石場,8000.0,0.0,0.0,300000.0,0,2021/09/17~2026/09/16,B1、B2-1、B5,,,NOT_FOUND
61,苗栗縣,DEC09451,甲騰企業有限公司,苗栗縣三義鄉鯉魚潭村1鄰鯉魚口1-20號,加工型、轉運型,私人團體設置土資場,56338.67,0.0,0.0,672000.0,0,2022/03/07~2027/03/06,B1、B2-1、B5,,,NOT_FOUND
62,苗栗縣,DFC27397,立益工業股份有限公司,苗栗縣三義鄉伯公坑32-2號,加工型,砂石場,24424.79,0.0,0.0,300000.0,0,2021/02/16~2026/02/15,B1、B2-1、B5,,,NOT_FOUND
63,苗栗縣,DFE15836,福宏土資場股份有限公司,苗栗縣銅鑼鄉中平村20鄰七十份101號,加工型、轉運型,私人團體設置土資場,12890.26,0.0,0.0,600000.0,0,2023/05/09~2028/05/08,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
64,苗栗縣,DGC07023,小山勇開發有限公司,苗栗縣頭屋鄉鳴鳳村1鄰柚子樹坑10號,填埋型、加工型,私人團體設置土資場,95338.0,1235502.0,516482.89,162000.0,0,2021/03/08~2026/03/07,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
65,苗栗縣,DHA07907,恒笙土資場,苗栗縣銅鑼鄉福興村11鄰平陽路77號,加工型、轉運型,私人團體設置土資場,8454.02,0.0,0.0,300000.0,0,2021/12/01~2026/11/30,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
66,苗栗縣,DUK08556,信業企業有限公司,苗栗縣後龍鎮龍坑里松仔腳95-8號,加工型,砂石場,16208.77,0.0,0.0,300000.0,0,2021/10/06~2026/10/05,B1、B2-1、B5,,,NOT_FOUND
67,苗栗縣,DWG21473,長增工程有限公司,苗栗縣後龍鎮龍坑里十班坑176之6號,加工型,砂石場,9917.0,0.0,0.0,300000.0,0,2023/07/12~2028/07/11,B1、B2-1、B5,,,NOT_FOUND
68,苗栗縣,DXH23549,晶發砂石股份有限公司,苗栗縣獅潭鄉竹木村12鄰烏石壁10之3號,加工型,砂石場,41520.0,0.0,0.0,300000.0,0,2024/06/19~2029/09/19,B1、B2-1、B5,,,NOT_FOUND
69,苗栗縣,DPJ17067,佾泰企業股份有限公司,苗栗縣頭份市7鄰下興里74-5號,加工型,土資場兼營混合物,11421.79,0.0,0.0,300000.0,0,2021/09/09~2026/09/08,B1、B2-1、B5,,,NOT_FOUND
70,苗栗縣,DSF11485,正和砂石開發工業股份有限公司,苗栗縣卓蘭鎮大埔園段98.116.120等3筆地號,加工型,砂石場,16666.96,0.0,0.0,300000.0,0,2024/02/19~2029/02/18,B1、B2-1、B5,,,NOT_FOUND
71,苗栗縣,DIF15487,富佑土資場,苗栗縣銅鑼鄉西崗段771地號等15筆土地,加工型、轉運型,私人團體設置土資場,19318.21,0.0,0.0,600000.0,0,2023/04/25~2028/04/24,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
72,台中市,DTE01902,程羽土石方資源堆置處理場,台中市烏日區環河路一段958號,加工型,私人團體設置土資場,12405.11,0.0,0.0,360000.0,0,2020/05/01~2030/04/30,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
73,台中市,DHK25688,麗榮實業有限公司,台中市神岡區溪洲村溪州路498號,加工型,私人團體設置土資場,15299.0,0.0,0.0,336200.0,0,2021/04/25~2026/04/24,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
74,台中市,DIE13961,臺中市豐洲堤防公有土石方資源堆置處理場,台中市神岡區溪洲村堤南路400號,加工型、轉運型,政府公有設置土資場,69545.0,0.0,0.0,720000.0,0,2009/11/16~2030/11/15,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
75,台中市,DGA10962,英銓土石方資源堆置處理場,台中市大里區環河路1段468號,加工型,私人團體設置土資場,4184.45,0.0,0.0,323000.0,0,2007/01/04~2027/12/22,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
76,台中市,DFE26444,大盛土石方資源堆置處理場,台中市龍井區臨港路2段38號,加工型、轉運型,私人團體設置土資場,20111.0,0.0,0.0,1080000.0,0,2006/05/25~2027/05/08,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
77,台中市,DFE01748,陸誠預拌混凝土有限公司土資場,台中市清水區海風里舊庄路23-98號,加工型,私人團體設置土資場,5993.76,0.0,0.0,260000.0,0,2006/04/24~2027/12/22,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
78,台中市,DDF07225,統發營建剩餘土石方資源堆置處理場,台中市南屯區麗水巷1之3號,加工型、轉運型,私人團體設置土資場,12423.0,0.0,0.0,360000.0,0,2024/04/08~2029/04/07,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
79,台中市,DEB22703,東億關連土石方資源堆置處理場,台中市龍井區龍津村蚵寮路255巷52號,加工型、轉運型,私人團體設置土資場,12217.0,0.0,0.0,352800.0,0,2005/02/02~2027/12/22,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
80,台中市,DBH07203,強琳環保工程有限公司,台中市北屯區建功巷29-9號,加工型,私人團體設置土資場,10194.0,0.0,0.0,360000.0,0,2020/04/01~2030/03/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
81,台中市,DCK08424,寶仁營建剩餘土石方資源堆置處理場(寶仁土石開發股份有限公司),台中市南屯區麗水巷1之5號,加工型、轉運型,私人團體設置土資場,11803.0,0.0,0.0,360000.0,0,2018/11/05~2028/11/04,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
82,彰化縣,DUE12104,祥俊環保事業股份有限公司,彰化縣鹿港鎮工業西七路13號,加工型,私人團體設置土資場,11350.15,0.0,0.0,360000.0,0,2021/05/06~2026/05/05,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
83,彰化縣,DKB09392,陞曜環保科技股份有限公司,彰化縣芳苑鄉芳漢路永興段683號,加工型,私人團體設置土資場,12334.0,0.0,0.0,316800.0,0,2021/01/19~2026/01/18,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
84,彰化縣,DYG14694,鐿豐資源科技股份有限公司,彰化縣鹿港鎮海埔里鹿科路七號,加工型,私人團體設置土資場,28005.04,0.0,0.0,179633.0,0,2025/06/16~2030/06/15,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
85,雲林縣,DXK22700,順修企業社,雲林縣褒忠鄉中正路14-12號,加工型,私人團體設置土資場,3000.0,0.0,0.0,280000.0,280000,2024/11/01~2025/09/06,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
86,雲林縣,DYC04922,銓浥土石方資源堆置場,雲林縣斗六市梅林里梅庄路88號,加工型,私人團體設置土資場,15160.0,0.0,0.0,280000.0,0,2022/12/06~2027/12/06,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
87,雲林縣,DYC14643,申詠砂石行,雲林縣斗六市石榴路369巷101號-1,加工型、轉運型,私人團體設置土資場,6096.06,0.0,0.0,280000.0,0,2025/04/03~2028/04/03,B1、B2-1、B2-2、B5,,,NOT_FOUND
88,雲林縣,DNB07466,英棟土石方資源堆置處理場,雲林縣四湖鄉四湖村關聖路10之2號,轉運型,私人團體設置土資場,16318.5,0.0,0.0,600000.0,0,2020/07/17~2026/07/15,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6,,,NOT_FOUND
89,雲林縣,DRA11616,宇盛國際土石方資源堆置處理場,雲林縣麥寮鄉海豐村忠和10-20號,加工型、轉運型,私人團體設置土資場,12110.92,0.0,0.0,336000.0,0,2018/01/04~2026/01/03,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
90,雲林縣,DII28198,世全建業有限公司土石方資源堆置轉運處理場,雲林縣林內鄉九芎村大埔4之60號,加工型,私人團體設置土資場,10306.81,0.0,0.0,1080000.0,1080000,2019/06/17~2028/06/16,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
92,南投縣,DLA05116,勝輝土資工程有限公司,南投縣竹山鎮延正里江西路38-12號,加工型、轉運型,私人團體設置土資場,17689.39,0.0,0.0,211200.0,0,2012/01/02~2027/01/01,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
