county,fac_no,fac_name,fac_addr,audittype,userclass,deadline_start_date,deadline_end_date,waste_no,waste_name,waste_source,reu_purp_notes,waste_reu_value,totalqty_unit
雲林縣,P60A0938,台灣永續資源科技實業有限公司,(634)雲林縣褒忠鄉中民村中正路二二之一號,公告/附表,內政部(營造業),20240606,20290606,R-0701,廢木材,"公告可直接再利用：事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(通傳會) 公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(通傳會逕依經濟部,經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),通傳會逕依內政部(營造業)) 事業產生之廢木材（板、屑）(通傳會逕依交通部)",燃料原料,5000,公噸/月
屏東縣,T4900091,錦堂企業有限公司,(904)屏東縣九如鄉玉泉村黃金路七七巷一○號,公告/附表,內政部(營造業),20240806,20290806,R-0110,羽毛,家禽屠宰產生之羽毛。但由直轄市、縣(市)動物防疫主管機關或動物防疫人員依動物傳染病防治條例相關規定所為之命令、指導或指示處理者，不適用之。(農業部),飼料之原料,250,公噸/月
屏東縣,T4900091,錦堂企業有限公司,(904)屏東縣九如鄉玉泉村黃金路七七巷一○號,公告/附表,內政部(營造業),20240806,20290806,R-0111,畜禽屠宰下腳料,畜禽屠宰業在屠宰過程產生之皮、肉、骨、內臟、血液或油脂。但由直轄市、縣(市)動物防疫主管機關或動物防疫人員依動物傳染病防治條例相關規定所為之命令、指導或指示處理者，不適用之。(農業部),飼料之原料,125,公噸/月
屏東縣,T4900091,錦堂企業有限公司,(904)屏東縣九如鄉玉泉村黃金路七七巷一○號,公告/附表,內政部(營造業),20240806,20290806,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料原料,250,公噸/月
屏東縣,T4900091,錦堂企業有限公司,(904)屏東縣九如鄉玉泉村黃金路七七巷一○號,公告/附表,內政部(營造業),20240806,20290806,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料,114,公噸/月
花蓮縣,U91B1103,台翔興業有限公司,(970)花蓮縣花蓮市民心里美工八街一○號,公告/附表,內政部(營造業),20240207,20290207,R-0201,廢塑膠,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),"固體再生燃料（Solid Recovered Fuels，簡稱SRF）原料",1600,公噸/月
花蓮縣,U91B1103,台翔興業有限公司,(970)花蓮縣花蓮市民心里美工八街一○號,公告/附表,內政部(營造業),20240207,20290207,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部,環境部逕依經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),環境部逕依內政部(營造業))",固體再生燃料原料,800,公噸/月
花蓮縣,U91B1103,台翔興業有限公司,(970)花蓮縣花蓮市民心里美工八街一○號,公告/附表,內政部(營造業),20240207,20290207,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部,環境部逕依經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),環境部逕依內政部(營造業))",燃料原料,2400,公噸/月
桃園市,H4604488,環球水泥股份有限公司海湖石膏板廠,(338)桃園市蘆竹區海湖里海山中街一八號,公告/附表,內政部(營造業),20250827,20300827,R-0411,廢石膏板,公告可直接再利用：事業產生之廢石膏板。但依相關法規認定為有害事業廢棄物者，不適用之。(內政部(營造業)),石膏製品之原料,2000,公噸/月
花蓮縣,U91B1935,台翔興業有限公司二廠,(970)花蓮縣花蓮市民孝里華東九八之二號,公告/附表,內政部(營造業),20240307,20290307,R-0201,廢塑膠,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),"固體再生燃料（Solid Recovered Fuels，簡稱SRF）原料",3200,公噸/月
花蓮縣,U91B1935,台翔興業有限公司二廠,(970)花蓮縣花蓮市民孝里華東九八之二號,公告/附表,內政部(營造業),20240307,20290307,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部,環境部逕依經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),環境部逕依內政部(營造業))",燃料原料,800,公噸/月
花蓮縣,U91B1935,台翔興業有限公司二廠,(970)花蓮縣花蓮市民孝里華東九八之二號,公告/附表,內政部(營造業),20240307,20290307,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部,環境部逕依經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業),環境部逕依內政部(營造業))",固體再生燃料原料,800,公噸/月
花蓮縣,U91A8964,同心農畜牧環保生技有限公司,(970)花蓮縣花蓮市民心里美工五街七號,公告/附表,內政部(營造業),20211228,20261228,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料原料,3650,公噸/月
屏東縣,T51A0822,煜佳環能科技股份有限公司,(907)屏東縣鹽埔鄉新二村新埔路一六八號,公告/附表,內政部(營造業),20240531,20290531,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",木製品原料,1000,公噸/月
屏東縣,T51A0822,煜佳環能科技股份有限公司,(907)屏東縣鹽埔鄉新二村新埔路一六八號,公告/附表,內政部(營造業),20240531,20290531,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料原料,1000,公噸/月
屏東縣,T4900760,安煌畜牧場,(904)屏東縣九如鄉後庄路一六巷三九號,公告/附表,內政部(營造業),20240924,20290924,R-0106,廚餘,事業產生之廚餘。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),飼料,50,公噸/月
屏東縣,T4900760,安煌畜牧場,(904)屏東縣九如鄉後庄路一六巷三九號,公告/附表,內政部(營造業),20240924,20290924,R-0114,果菜殘渣,果菜批發市場所產生之果菜殘渣(農業部),直接供畜禽食用,600,公噸/月
屏東縣,T4900760,安煌畜牧場,(904)屏東縣九如鄉後庄路一六巷三九號,公告/附表,內政部(營造業),20240924,20290924,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,510,公噸/月
屏東縣,T4900760,安煌畜牧場,(904)屏東縣九如鄉後庄路一六巷三九號,公告/附表,內政部(營造業),20240924,20290924,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,70,公噸/月
屏東縣,T4900760,安煌畜牧場,(904)屏東縣九如鄉後庄路一六巷三九號,公告/附表,內政部(營造業),20240924,20290924,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料,180,公噸/月
